Hs,Es,Hv,Ev,Dir,Loc
18,19,-246.385846819196,190.484183175223,L,1
19,27,-172.326224190848,137.841360909598,L,1
15,22,-169.743129185268,128.686087472098,L,1
19,21,-171.661376953125,134.222848074777,L,1
21,25,-156.467982700893,107.846941266741,L,1
13,15,-191.726684570313,150.658743722098,L,1
14,22,-173.17635672433,119.083949497768,L,1
20,33,-89.2203194754464,104.81698172433,R,1
19,26,-115.552629743304,125.721522739955,R,1
29,NaN,-95.8033970424107,107.291085379464,R,1
18,24,-116.816929408482,123.12752859933,R,1
23,35,-98.876953125,108.598981584821,R,1
7,6,-141.165597098214,100.588117327009,L,2
10,NaN,-171.290806361607,127.737862723214,L,2
9,NaN,-160.576956612723,121.350969587054,L,2
16,6,-164.217267717634,127.127511160714,L,2
15,15,-142.593383789063,106.451851981027,L,2
10,1,-182.233537946429,130.124773297991,L,2
18,21,-137.874058314732,100.217546735491,L,2
15,16,-142.102922712054,101.133074079241,L,2
14,14,-159.334455217634,116.086687360491,L,2
13,11,-144.609723772321,107.792445591518,L,2
9,16,-150.963919503348,110.582624162946,L,2
14,NaN,-122.048514229911,84.4464983258929,L,2
12,11,-157.187325613839,126.320975167411,L,2
20,19,-158.974783761161,129.056658063616,L,2
10,9,-149.285452706473,111.301967075893,L,2
15,17,-137.089320591518,100.217546735491,L,2
9,15,-144.337245396205,103.650774274554,L,2
15,9,-145.590645926339,106.353759765625,L,2
16,15,-161.634172712054,115.901402064732,L,2
0,NaN,-173.961094447545,128.33731515067,L,2
19,14,-143.29092843192,99.2039271763393,L,2
14,17,-138.233729771205,99.2911202566964,L,2
3,26,-188.347952706473,140.021187918527,L,2
19,9,-138.909476143973,110.255650111607,L,2
17,18,-178.037370954241,139.60702078683,L,2
16,NaN,-128.31551688058,91.6072300502232,L,2
18,15,-159.60693359375,117.296491350446,L,2
13,18,-167.061941964286,127.5634765625,L,2
17,9,-169.721330915179,131.628853934152,L,2
10,NaN,-142.102922712054,104.413713727679,L,2
15,18,-146.680559430804,109.765189034598,L,2
13,3,-164.402553013393,119.966779436384,L,2
11,16,-152.359008789063,104.457310267857,L,2
12,NaN,-155.105590820313,114.593505859375,L,2
26,32,-79.3348039899554,88.8606480189732,R,2
34,43,-63.6073521205357,69.2095075334821,R,2
22,27,-107.72705078125,115.955897739955,R,2
21,25,-105.634416852679,117.983136858259,R,2
13,24,-109.874180385045,113.721575055804,R,2
23,33,-75.1386369977679,87.3565673828125,R,2
20,34,-87.4546595982143,95.5527169363839,R,2
22,21,-95.2911376953125,101.667131696429,R,2
10,26,-116.511753627232,118.964059012277,R,2
16,18,-117.02401297433,131.541660853795,R,2
17,23,-109.601702008929,123.12752859933,R,2
19,25,-85.5800083705357,100.729806082589,R,2
5,8,-152.021135602679,147.083827427455,R,2
20,26,-90.4628208705357,101.961408342634,R,2
42,NaN,-47.6510184151786,62.5392368861607,R,2
5,17,-131.465366908482,133.645193917411,R,2
7,20,-146.113804408482,149.797712053571,R,2
17,31,-85.5037144252232,93.0023193359375,R,2
20,27,-95.1930454799107,114.528111049107,R,2
12,24,-125.514439174107,129.013061523438,R,2
21,30,-87.1930803571429,97.3074776785714,R,2
13,27,-142.201014927455,145.557948521205,R,2
25,28,-91.4110456194196,101.569039481027,R,2
22,32,-93.0895124162946,97.4600655691964,R,2
12,18,-133.132934570313,126.451764787946,R,2
15,26,-104.827880859375,114.179338727679,R,2
23,27,-96.6862269810268,106.212071010045,R,2
27,40,-83.6399623325893,91.3892473493304,R,2
17,20,-91.6617257254464,106.103079659598,R,2
33,38,-111.258370535714,96.6644287109375,R,2
28,35,-68.9370291573661,76.9260951450893,R,2
15,18,-96.5227399553571,108.925955636161,R,2
14,12,-202.091761997768,167.563302176339,L,3
13,10,-264.936174665179,217.317853655134,L,3
16,19,-186.985560825893,141.819545200893,L,3
13,13,-184.097290039063,142.244611467634,L,3
18,16,-174.473353794643,134.833199637277,L,3
11,11,-197.75390625,156.228201729911,L,3
19,20,-196.39151436942,170.353480747768,L,3
16,16,-180.21719796317,142.800467354911,L,3
14,16,-195.552280970982,165.906633649554,L,3
14,15,-178.397042410714,136.27188546317,L,3
14,10,-202.211652483259,160.751342773438,L,3
16,19,-152.718680245536,109.525408063616,L,3
13,17,-185.198102678571,142.51708984375,L,3
15,19,-187.726702008929,156.544276646205,L,3
14,11,-196.729387555804,167.149135044643,L,3
16,52,-207.105364118304,163.705008370536,L,3
10,11,-196.609497070313,146.092006138393,L,3
13,11,-205.99365234375,178.680419921875,L,3
16,16,-190.658569335938,161.405290876116,L,3
17,17,-179.672241210938,159.105573381696,L,3
14,18,-181.666782924107,155.225481305804,L,3
8,23,-181.895664760045,139.040265764509,L,3
15,16,-204.598563058036,160.871233258929,L,3
14,20,-171.094621930804,172.620500837054,R,3
18,17,-175.694056919643,172.882080078125,R,3
17,9,-182.364327566964,180.576869419643,R,3
14,15,-179.334368024554,184.02099609375,R,3
23,28,-164.860316685268,155.323573521205,R,3
13,5,-169.688633510045,169.590541294643,R,3
20,24,-176.489693777902,185.786655970982,R,3
19,22,-151.585170200893,176.631382533482,R,3
12,28,-155.519757952009,152.598789760045,R,3
19,29,-154.669625418527,160.936628069196,R,3
18,23,-161.786760602679,166.081019810268,R,3
21,25,-127.879551478795,142.026628766741,R,3
21,29,-183.465140206473,187.23624093192,R,3
13,5,-167.160034179688,174.833025251116,R,3
20,29,-171.465192522321,172.87118094308,R,3
19,22,-159.803118024554,158.52791922433,R,3
24,32,-145.40536063058,162.004743303571,R,3
20,24,-165.067400251116,163.977486746652,R,3
24,28,-111.498151506696,76.9696916852679,L,4
21,4,-115.563528878348,78.7789481026786,L,4
13,18,-125.59073311942,92.7516392299107,L,4
12,15,-108.816964285714,78.125,L,4
19,10,-131.705147879464,94.8987688337054,L,4
27,30,-94.3865094866071,57.8199114118304,L,4
18,23,-104.969569614955,69.4165910993304,L,4
15,22,-150.767735072545,111.618041992188,L,4
22,26,-62.9098074776786,40.6210763113839,L,4
17,23,-91.5745326450893,62.7245221819196,L,4
19,52,-103.705269949777,73.9397321428571,L,4
17,22,-116.228376116071,83.2257952008929,L,4
11,24,-99.3238176618304,71.5419224330357,L,4
17,23,-105.688912527902,81.4928327287946,L,4
22,NaN,-89.9614606584821,58.7790352957589,L,4
24,19,-97.7325439453125,73.6127580915179,L,4
5,89,-109.329223632813,83.1277029854911,L,4
15,14,-129.274640764509,94.2230224609375,L,4
26,29,-90.4301234654018,64.6645682198661,L,4
20,31,-92.010498046875,70.1577322823661,L,4
24,NaN,-88.043212890625,64.0542166573661,L,4
24,29,-103.389195033482,76.8389020647321,L,4
22,24,-99.1276332310268,75.5746023995536,L,4
13,29,-65.4166085379464,42.0379638671875,L,4
16,20,-104.773385184152,62.6809256417411,L,4
26,NaN,-101.525442940848,78.2557896205357,L,4
21,21,-118.059430803571,86.517333984375,L,4
24,25,-102.277483258929,73.1549944196429,L,4
20,27,-96.7734200613839,61.5365164620536,L,4
20,15,-105.939592633929,70.6808907645089,L,4
20,13,-115.705217633929,91.9560023716518,L,4
14,NaN,-123.639787946429,92.6644461495536,L,4
19,8,-95.9450857979911,68.9152308872768,L,4
NaN,74,-67.7490234375,89.9832589285714,R,4
30,30,-50.506591796875,75.6726946149554,R,4
36,26,-60.6645856584821,81.8961007254464,R,4
32,36,-46.9534737723214,68.8934326171875,R,4
33,34,-83.8797433035714,101.76522391183,R,4
43,43,-66.5283203125,94.4628034319196,R,4
88,92,-56.5556117466518,76.9478934151786,R,4
32,29,-61.7218017578125,67.0514787946429,R,4
38,35,-66.5065220424107,88.3156912667411,R,4
25,30,-64.3484933035714,81.9178989955357,R,4
30,25,-85.0677490234375,99.9886648995536,R,4
74,78,-31.4658028738839,53.5038539341518,R,4
54,51,-40.283203125,58.1904820033482,R,4
39,41,-43.1714739118304,62.3757498604911,R,4
23,16,-59.0842110770089,76.4683314732143,R,4
37,38,-47.1932547433036,67.0078822544643,R,4
28,24,-75.37841796875,91.0077776227679,R,4
31,1,-75.4111153738839,99.1930280412946,R,4
37,34,-74.1904122488839,90.4192243303571,R,4
28,30,-58.59375,80.5119105747768,R,4
33,38,-72.2721644810268,95.4655238560268,R,4
72,54,-38.8881138392857,48.2940673828125,R,4
28,34,-81.8198067801339,108.697073800223,R,4
31,34,-81.8634033203125,92.9587227957589,R,4
52,47,-49.6891566685268,68.5446602957589,R,4
25,46,-76.3375418526786,88.2066999162946,R,4
50,45,-45.3839983258929,64.6318708147321,R,4
34,34,-72.7190290178571,90.1685442243304,R,4
62,52,-41.3622174944196,64.239501953125,R,4
23,20,-97.0349993024554,114.375523158482,R,4
26,40,-67.5201416015625,85.906982421875,R,4
15,19,-176.010131835938,135.879516601563,L,5
16,18,-160.228184291295,125.143868582589,L,5
15,15,-162.887573242188,119.127546037946,L,5
15,18,-168.260846819196,137.656075613839,L,5
13,16,-141.797746930804,104.893275669643,L,5
13,21,-140.980311802455,110.811505998884,L,5
15,15,-144.173758370536,109.797886439732,L,5
13,17,-166.17911202567,129.808698381696,L,5
11,14,-138.037545340402,95.8578927176339,L,5
14,23,-172.783987862723,129.154750279018,L,5
18,20,-154.015677315848,103.323800223214,L,5
12,15,-185.928344726563,136.740548270089,L,5
10,22,-200.554983956473,146.200997488839,L,5
17,21,-211.159842354911,151.617867606027,L,5
12,18,-164.315359933036,116.195678710938,L,5
14,15,-162.538800920759,132.566179547991,L,5
10,14,-164.95840890067,134.822300502232,L,5
11,20,-181.546892438616,146.070207868304,L,5
12,14,-175.00741141183,138.931274414063,L,5
15,19,-162.179129464286,132.882254464286,L,5
16,15,-164.358956473214,127.716064453125,L,5
13,12,-161.568777901786,121.427263532366,L,5
13,17,-164.914812360491,132.228306361607,L,5
15,18,-155.726841517857,136.751447405134,L,5
12,5,-188.522338867188,151.388985770089,L,5
15,18,-174.09188406808,130.876813616071,L,5
13,18,-142.135620117188,98.5390799386161,L,5
8,9,-199.181692940848,161.448887416295,L,5
7,9,-158.680507114955,117.667061941964,L,5
16,23,-142.887660435268,106.97501046317,L,5
12,15,-162.375313895089,121.841430664063,L,5
12,12,-168.784005301339,143.792288643973,L,5
11,17,-174.778529575893,138.179234095982,L,5
16,15,-173.710414341518,129.710606166295,L,5
17,18,-167.628696986607,129.416329520089,L,5
16,18,-163.922991071429,136.849539620536,L,5
8,15,-204.347882952009,139.258248465402,L,5
7,NaN,-228.500366210938,154.517037527902,L,5
13,12,-203.236171177455,148.032052176339,L,5
10,15,-200.369698660714,145.241873604911,L,5
11,18,-188.326154436384,149.252755301339,L,5
9,25,-184.969220842634,136.598859514509,L,5
12,13,-169.448852539063,122.571672712054,L,5
24,31,-135.269165039063,96.5336390904018,L,5
14,14,-176.707676478795,141.677856445313,L,5
6,6,-218.767438616071,158.920288085938,L,5
13,NaN,-181.2744140625,134.996686662946,L,5
9,29,-190.298897879464,143.138340541295,L,5
13,17,-180.064610072545,132.58797781808,L,5
8,10,-199.813842773438,154.778616768973,L,5
15,34,-153.372628348214,113.895961216518,L,5
9,0,-203.127179827009,160.805838448661,L,5
10,20,-176.467895507813,129.209245954241,L,5
8,12,-193.841116768973,145.372663225446,L,5
11,10,-169.950212751116,126.702444893973,L,5
13,12,-135.007585797991,89.8633684430804,L,5
14,14,-149.874005998884,117.503574916295,L,5
11,3,-185.38338797433,141.819545200893,L,5
14,12,-169.176374162946,124.489920479911,L,5
13,13,-174.745832170759,187.966482979911,R,5
21,24,-126.713344029018,130.996704101563,R,5
13,15,-175.247192382813,182.63680594308,R,5
8,16,-146.200997488839,156.424386160714,R,5
24,23,-146.386282784598,127.083914620536,R,5
14,15,-154.767717633929,165.928431919643,R,5
17,14,-143.26913016183,158.38623046875,R,5
19,20,-127.901349748884,140.598842075893,R,5
21,24,-137.340000697545,145.786830357143,R,5
17,24,-116.936819893973,126.833234514509,R,5
9,6,-165.296282087054,169.100080217634,R,5
20,23,-127.214704241071,135.726928710938,R,5
17,7,-148.860386439732,159.170968191964,R,5
8,0,-159.051077706473,151.53067452567,R,5
21,22,-118.767874581473,126.637050083705,R,5
22,25,-134.310041155134,139.988490513393,R,5
11,16,-155.345371791295,167.98836844308,R,5
21,28,-136.958530970982,129.86319405692,R,5
19,12,-141.100202287946,157.176426478795,R,5
21,22,-129.198346819196,126.320975167411,R,5
28,26,-107.160295758929,133.623395647321,R,5
9,11,-178.822108677455,179.966517857143,R,5
10,7,-179.247174944196,175.236293247768,R,5
10,16,-144.740513392857,158.070155552455,R,5
9,17,-172.402518136161,168.467930385045,R,5
9,22,-163.617815290179,158.724103655134,R,5
19,31,-132.435389927455,143.203735351563,R,5
18,23,-135.072980608259,144.424438476563,R,5
16,18,-143.57430594308,149.623325892857,R,5
11,15,-168.991088867188,174.680437360491,R,5
15,17,-134.953090122768,149.666922433036,R,5
13,14,-162.887573242188,166.920253208705,R,5
20,18,-149.579729352679,151.497977120536,R,5
16,25,-165.318080357143,159.258161272321,R,5
21,28,-152.816772460938,158.69140625,R,5
16,18,-147.912161690848,157.132829938616,R,5
21,30,-151.290893554688,160.369873046875,R,5
13,14,-153.623308454241,164.010184151786,R,5
21,30,-129.721505301339,139.247349330357,R,5
8,21,-180.446079799107,173.895699637277,R,5
7,5,-225.088936941964,201.143537248884,R,5
20,22,-163.530622209821,176.162719726563,R,5
14,20,-147.062029157366,153.416224888393,R,5
6,16,-158.680507114955,149.754115513393,R,5
22,28,-133.514404296875,135.33455984933,R,5
23,NaN,-142.451695033482,137.688773018973,R,5
16,21,-135.498046875,152.053833007813,R,5
19,22,-104.598999023438,124.849591936384,R,5
6,NaN,-160.130092075893,175.486973353795,R,5
16,26,-142.495291573661,136.762346540179,R,5
19,31,-142.190115792411,146.724155970982,R,5
11,12,-146.157400948661,154.680524553571,R,5
13,16,-166.222708565848,179.628644670759,R,5
19,23,-129.25284249442,137.448992047991,R,5
22,28,-148.413521902902,153.547014508929,R,5
18,48,-124.500819614955,126.909528459821,R,5
24,28,-125.252859933036,142.255510602679,R,5
23,36,-128.413609095982,121.187482561384,R,5
17,30,-138.789585658482,141.568865094866,R,5
20,NaN,-141.43807547433,149.111066545759,R,5
22,30,-106.34286063058,115.171160016741,R,5
23,31,-116.566249302455,127.11661202567,R,5
17,30,-142.222813197545,146.996634347098,R,5
23,40,-140.882219587054,139.825003487723,R,5
20,21,-135.072980608259,138.615199497768,R,5
20,22,-123.356410435268,146.190098353795,R,5
31,41,-113.721575055804,114.473615373884,R,5
2,0,-188.620431082589,182.625906808036,R,5
21,21,-113.612583705357,118.24471609933,R,5
18,26,-117.143903459821,83.5854666573661,L,6
14,13,-114.190237862723,80.2394321986607,L,6
16,19,-117.568969726563,83.0623081752232,L,6
14,40,-171.912057059152,122.778756277902,L,6
16,22,-151.312691824777,105.994088309152,L,6
24,29,-133.699689592634,95.0840541294643,L,6
11,21,-136.446271623884,91.2584577287946,L,6
9,3,-149.754115513393,114.44091796875,L,6
22,22,-138.364519391741,96.2393624441964,L,6
9,0,-173.754010881696,121.590750558036,L,6
14,NaN,-160.184587751116,109.688895089286,L,6
12,13,-181.503295898438,138.266427176339,L,6
14,18,-163.094656808036,109.438214983259,L,6
19,117,-127.607073102679,79.7925676618304,L,6
4,16,-164.685930524554,110.277448381696,L,6
23,24,-138.528006417411,103.094918387277,L,6
16,16,-136.980329241071,95.3456333705357,L,6
17,16,-143.661499023438,102.767944335938,L,6
13,21,-138.08114188058,106.386457170759,L,6
14,20,-137.3291015625,96.4573451450893,L,6
9,19,-146.876743861607,98.9532470703125,L,6
9,25,-160.675048828125,112.555367606027,L,6
8,22,-179.203578404018,113.252912248884,L,6
10,32,-163.955688476563,112.816946847098,L,6
14,14,-149.154663085938,121.176583426339,L,6
12,16,-168.969290597098,114.996773856027,L,6
10,14,-160.348074776786,118.887765066964,L,6
14,NaN,-153.274536132813,113.481794084821,L,6
12,NaN,-160.773141043527,110.833304268973,L,6
19,6,-155.6396484375,114.081246512277,L,6
6,17,-137.645176478795,97.6344517299107,L,6
5,22,-165.71044921875,126.255580357143,L,6
5,6,-169.863019670759,127.530779157366,L,6
13,24,-164.849417550223,131.345476422991,L,6
13,22,-130.47354561942,98.4518868582589,L,6
13,8,-137.013026646205,102.876935686384,L,6
14,NaN,-147.497994559152,116.609845842634,L,6
13,NaN,-141.176496233259,98.7352643694196,L,6
10,0,-169.383457728795,124.588012695313,L,6
15,NaN,-89.7543770926339,90.5500139508929,R,6
16,31,-97.2638811383929,92.2393798828125,R,6
18,21,-110.811505998884,103.716169084821,R,6
22,28,-93.3728899274554,95.7598005022321,R,6
2,10,-115.955897739955,117.93954031808,R,6
9,25,-114.168439592634,114.931379045759,R,6
24,36,-113.296508789063,110.909598214286,R,6
16,22,-88.8933454241071,102.026803152902,R,6
17,21,-93.8742501395089,90.5064174107143,R,6
19,37,-98.6262730189732,105.002267020089,R,6
19,45,-110.288347516741,96.0104806082589,R,6
24,1,-134.353637695313,111.661638532366,R,6
22,28,-119.77059500558,108.021327427455,R,6
14,26,-99.6834891183036,92.1957833426339,R,6
18,27,-99.2257254464286,100.762503487723,R,6
17,51,-102.68075125558,89.2966134207589,R,6
19,20,-115.705217633929,109.569004603795,R,6
17,29,-100.40283203125,101.569039481027,R,6
18,29,-141.797746930804,136.751447405134,R,6
23,28,-116.5771484375,101.285661969866,R,6
20,41,-121.4599609375,115.171160016741,R,6
23,51,-90.0159563337054,78.2884870256696,R,6
27,48,-112.849644252232,102.168491908482,R,6
16,1,-124.860491071429,113.732474190848,R,6
27,30,-95.5527169363839,83.92333984375,R,6
21,21,-98.1467110770089,90.4083251953125,R,6
14,2,-111.977713448661,102.975027901786,R,6
24,NaN,-135.105678013393,117.994035993304,R,6
17,17,-91.6399274553571,102.942330496652,R,6
20,23,-99.9341692243304,104.827880859375,R,6
17,10,-79.2040143694196,79.4655936104911,R,6
22,39,-89.3947056361607,89.2421177455357,R,6
20,31,-128.631591796875,107.846941266741,R,6
22,45,-98.419189453125,93.9396449497768,R,6
20,6,-141.470772879464,121.078491210938,R,6
15,136,-107.934134347098,97.7979387555804,R,6
20,146,-108.33740234375,95.8360944475446,R,6
15,21,-104.588099888393,107.607160295759,R,6
11,28,-107.029506138393,105.416434151786,R,6
13,30,-140.021187918527,138.931274414063,R,6
17,26,-90.3211321149554,97.0894949776786,R,6
5,27,-110.419137137277,105.656215122768,R,6
15,32,-93.4709821428571,102.310180664063,R,6
34,43,-90.2012416294643,81.6890171595982,R,6
11,27,-104.315621512277,112.315586635045,R,6
12,44,-145.688738141741,116.522652762277,L,7
16,20,-166.353498186384,121.92862374442,L,7
17,22,-127.530779157366,100.435529436384,L,7
18,8,-155.574253627232,107.574462890625,L,7
7,11,-139.726911272321,104.130336216518,L,7
11,14,-141.721452985491,109.481811523438,L,7
12,11,-141.143798828125,106.419154575893,L,7
15,45,-142.735072544643,118.538992745536,L,7
16,6,-135.127476283482,105.42733328683,L,7
18,10,-145.503452845982,120.860508510045,L,7
13,22,-154.756818498884,109.765189034598,L,7
13,14,-123.574393136161,86.5936279296875,L,7
6,13,-202.549525669643,147.770472935268,L,7
11,15,-167.160034179688,122.201102120536,L,7
11,16,-155.835832868304,116.010393415179,L,7
14,21,-141.034807477679,94.8115757533482,L,7
13,NaN,-149.514334542411,103.31290108817,L,7
9,NaN,-163.628714425223,125.198364257813,L,7
13,7,-161.677769252232,132.326398577009,L,7
19,16,-168.805803571429,138.146536690848,L,7
12,20,-203.159877232143,177.961077008929,L,7
12,16,-181.884765625,153.66690499442,L,7
11,15,-187.726702008929,158.331734793527,L,7
14,NaN,-228.958129882813,197.350638253348,L,7
13,10,-194.080897739955,171.192714146205,L,7
14,19,-189.307076590402,148.3154296875,L,7
5,22,-152.478899274554,105.765206473214,L,7
15,18,-201.470511300223,173.743111746652,L,7
12,11,-223.802839006696,191.301618303571,L,7
8,8,-195.301600864955,165.961129324777,L,7
11,14,-199.966430664063,179.399762834821,L,7
15,19,-200.064522879464,159.814017159598,L,7
12,NaN,-184.522356305804,150.30997140067,L,7
15,19,-179.170880998884,135.02938406808,L,7
14,18,-151.345389229911,128.62069266183,L,7
18,25,-127.334594726563,80.5555071149554,L,7
14,14,-198.647635323661,156.042916434152,L,7
15,19,-187.901088169643,142.233712332589,L,7
17,22,-141.525268554688,111.988612583705,L,7
12,NaN,-220.118931361607,194.004603794643,L,7
11,16,-210.10262625558,185.143607003348,L,7
13,13,-205.623081752232,178.320748465402,L,7
14,NaN,-214.800153459821,200.696672712054,L,7
13,18,-148.119245256696,103.498186383929,L,7
15,25,-130.964006696429,100.664411272321,L,7
14,6,-123.857770647321,118.985857282366,R,7
16,41,-124.871390206473,126.03759765625,R,7
25,31,-104.67529296875,105.852399553571,R,7
26,34,-112.718854631696,106.680733816964,R,7
20,33,-100.925990513393,98.8006591796875,R,7
19,33,-90.3756277901786,87.8361293247768,R,7
14,44,-107.28018624442,99.8578752790179,R,7
17,34,-102.920532226563,101.198468889509,R,7
17,28,-114.855085100446,102.593558175223,R,7
19,27,-113.242013113839,88.7189592633929,R,7
18,29,-126.048496791295,106.440952845982,R,7
24,35,-100.348336356027,92.5990513392857,R,7
17,19,-113.863263811384,116.184779575893,R,7
21,6,-124.075753348214,95.0186593191964,R,7
22,30,-88.8279506138393,99.3674142020089,R,7
24,26,-90.6154087611607,92.5118582589286,R,7
22,34,-97.5690569196429,99.4982038225446,R,7
20,37,-105.078560965402,108.468191964286,R,7
18,26,-132.89315359933,120.555332728795,R,7
19,29,-102.005004882813,102.451869419643,R,7
18,10,-106.50634765625,111.55264718192,R,7
11,29,-110.462733677455,110.015869140625,R,7
22,17,-100.381033761161,106.495448521205,R,7
20,93,-89.4927978515625,91.1276681082589,R,7
22,39,-113.231113978795,105.274745396205,R,7
24,32,-81.4274379185268,86.3538469587054,R,7
20,27,-91.2039620535714,100.969587053571,R,7
20,NaN,-102.735246930804,108.370099748884,R,7
18,35,-94.3429129464286,96.9042096819196,R,7
22,32,-99.0622384207589,109.329223632813,R,7
24,43,-101.906912667411,104.381016322545,R,7
20,36,-108.228410993304,104.22842843192,R,7
19,35,-119.116646902902,125.830514090402,R,7
21,20,-101.351056780134,106.680733816964,R,7
22,34,-106.866019112723,104.435511997768,R,7
21,51,-124.773297991071,114.168439592634,R,7
16,26,-108.925955636161,111.22567313058,R,7
22,31,-97.0676967075893,110.604422433036,R,7
32,42,-111.977713448661,100.391932896205,R,7
22,114,-105.089460100446,106.549944196429,R,7
20,14,-134.222848074777,117.983136858259,R,7
21,30,-136.980329241071,129.568917410714,R,7
21,18,-138.5498046875,129.263741629464,R,7
21,21,-173.743111746652,171.748570033482,R,7
14,23,-162.19002859933,149.383544921875,R,7
20,22,-114.451817103795,112.228393554688,R,7
19,35,-144.991193498884,135.19287109375,R,7
18,12,-147.628784179688,145.056588309152,R,7
22,25,-142.168317522321,138.735089983259,R,7
22,34,-155.399867466518,150.28817313058,R,7
24,33,-154.680524553571,145.383562360491,R,7
17,25,-150.735037667411,151.53067452567,R,7
18,19,-157.873971121652,162.702287946429,R,7
18,29,-159.214564732143,156.958443777902,R,7
18,34,-149.002075195313,155.19278390067,R,7
19,35,-157.274518694196,155.530657087054,R,7
16,19,-167.454310825893,149.557931082589,R,7
13,21,-170.2880859375,177.764892578125,R,7
20,19,-161.002022879464,159.421648297991,R,7
18,27,-109.056745256696,103.694370814732,R,7
23,21,-102.506365094866,103.90145438058,R,7
18,84,-316.271100725446,242.723737444196,L,8
17,17,-269.045148577009,261.8408203125,L,8
16,24,-362.875802176339,238.887241908482,L,8
17,19,-292.249407087054,287.224905831473,L,8
18,22,-308.761596679688,312.009538922991,L,8
19,21,-256.598336356027,241.513933454241,L,8
18,17,-274.483816964286,238.582066127232,L,8
18,21,-275.835309709821,245.459420340402,L,8
18,19,-276.391165597098,260.652814592634,L,8
13,25,-319.464547293527,267.530168805804,L,8
14,19,-250.047956194196,232.729230608259,L,8
19,23,-241.55752999442,226.124354771205,L,8
16,19,-240.576607840402,216.042654854911,L,8
14,NaN,-271.333966936384,243.007114955357,L,8
